Suits,Value,WhoCalled,OurScore,TheirScore
4,10,1,4,22
1,10,0,29,23
3,10,1,35,43
0,13,1,64,43
1,15,1,95,43
4,10,1,95,69
3,10,0,117,73
0,10,0,141,75
1,14,0,170,76
0,10,1,196,76
0,13,0,196,105
2,10,0,196,131
1,13,1,197,159
2,10,0,219,163
1,13,1,222,189
0,10,1,224,213
0,10,0,224,239
1,13,0,252,240
0,10,0,252,266
4,10,0,277,267
1,10,0,298,272
3,13,0,298,301
3,10,0,20,6
3,10,0,43,9
0,10,1,69,9
1,10,0,69,35
1,13,1,98,35
3,13,1,127,35
1,10,0,152,36
0,13,1,181,36
0,13,1,181,65
1,10,0,202,70
0,10,0,227,71
2,13,1,256,71
2,10,0,278,75
3,10,0,301,78
0,10,0,26,0
2,10,0,26,26
3,10,0,51,27
4,10,0,71,33
2,13,0,71,62
0,10,1,74,85
3,10,0,94,91
1,10,0,94,117
2,15,0,94,148
2,10,0,120,148
3,10,0,143,151
1,10,0,143,177
0,13,0,143,206
1,10,1,169,206
0,10,0,169,232
1,10,0,191,236
3,10,1,217,236
0,10,1,243,236
0,15,1,274,236
3,10,1,279,257
2,10,0,299,263
0,10,1,304,284
1,14,1,30,0
3,10,1,36,20
1,10,1,41,41
2,10,0,41,67
0,10,0,41,93
2,10,1,46,114
4,10,1,52,134
1,10,1,78,134
3,10,0,100,138
3,10,0,121,143
0,13,1,150,143
3,13,0,150,172
3,13,0,176,175
2,10,1,182,195
2,13,1,184,222
2,10,0,184,248
2,10,0,184,274
0,13,0,184,303
3,10,1,0,26
0,13,0,0,55
0,10,0,0,81
3,13,0,28,82
3,10,1,34,102
2,13,0,61,104
1,10,1,66,125
2,13,0,93,127
0,13,1,93,156
2,10,0,116,159
2,13,1,145,159
1,10,1,171,159
1,13,0,199,160
2,10,0,199,186
2,10,0,199,212
0,10,0,199,238
2,10,0,222,241
3,10,1,224,265
3,10,0,224,291
0,10,0,247,294
0,10,1,248,319
0,10,0,24,2
3,13,0,51,4
3,10,1,77,4
4,10,0,102,5
4,10,1,104,29
1,10,0,125,34
1,13,1,154,34
0,10,0,154,60
3,10,0,154,86
3,10,0,176,90
0,10,0,200,92
1,10,0,223,95
3,13,1,252,95
