Suits,Value,WhoCalled,v1,v2
1,10,0,22,4
0,10,1,27,25
1,10,0,51,27
0,10,1,53,51
3,9,0,72,57
3,10,1,98,57
4,9,0,98,82
1,10,1,124,82
4,10,0,124,108
3,13,1,127,134
0,9,0,148,138
2,10,0,173,139
0,13,1,175,166
3,10,1,201,166
3,13,1,203,193
0,9,0,203,218
1,13,1,203,247
3,10,1,206,270
2,13,1,235,270
0,14,1,237,298
4,12,1,237,326
0,10,1,26,0
3,10,1,52,0
1,10,1,58,20
0,10,1,63,41
1,10,1,64,66
0,9,0,82,73
1,10,1,108,73
3,13,1,110,100
1,13,0,110,129
3,10,1,136,129
3,10,1,162,129
0,10,1,162,155
0,13,1,162,184
2,15,1,193,184
1,13,1,222,184
0,10,1,248,184
0,13,1,249,212
1,10,1,252,235
2,10,1,257,256
0,9,0,278,260
1,10,1,283,281
2,13,1,284,309
3,10,1,26,0
2,13,1,27,28
1,9,0,48,32
4,9,0,48,57
0,10,1,49,82
2,10,1,75,82
2,13,1,104,82
4,9,0,125,86
2,10,1,151,86
3,10,0,172,91
4,10,1,198,91
2,10,1,224,91
0,13,1,253,91
2,10,1,279,91
3,10,1,283,113
1,10,0,307,115
4,10,0,23,3
0,13,1,52,3
3,10,1,78,3
2,13,1,107,3
0,10,1,111,25
0,13,1,140,25
2,10,0,164,27
3,13,1,193,27
2,10,0,217,29
1,10,1,243,29
1,15,1,274,29
1,10,0,296,33
3,10,1,322,33
4,10,0,23,3
1,10,1,49,3
2,10,1,53,25
2,9,0,72,31
3,10,1,76,53
0,10,0,99,56
2,13,1,101,83
3,13,1,102,111
4,10,0,126,113
0,13,1,155,113
4,9,0,178,115
3,10,1,204,115
1,10,1,204,141
3,10,0,226,145
2,10,1,228,169
2,10,0,249,174
1,10,1,251,198
1,10,0,274,201
2,9,0,294,206
3,9,0,316,209
3,10,0,0,26
2,9,0,25,26
4,10,1,51,26
1,10,1,77,26
3,12,1,77,54
2,10,1,103,54
0,10,0,127,56
4,13,0,156,56
2,13,1,185,56
2,13,1,214,56
0,10,1,217,79
0,10,1,220,102
2,13,1,249,102
3,10,1,250,127
4,9,0,270,132
4,10,0,270,158
0,10,0,295,159
3,10,1,300,180
2,10,1,302,204
4,10,0,26,0
0,10,0,49,3
3,10,1,75,3
0,13,1,104,3
4,10,0,125,8
3,10,1,129,30
2,9,0,153,31
1,10,1,155,55
0,10,1,181,55
3,10,1,207,55
4,10,1,233,55
0,10,1,237,77
1,10,1,241,99
2,9,0,262,103
1,10,1,265,126
2,10,1,266,151
1,10,0,289,154
3,10,1,293,176
0,10,0,315,180
4,10,0,21,5
4,10,1,22,30
2,13,1,22,59
0,13,0,51,59
3,10,1,57,79
0,10,1,83,79
3,12,1,83,107
2,10,0,105,111
2,13,1,134,111
0,10,1,135,136
4,10,1,161,136
2,13,1,162,164
0,10,0,186,166
0,10,0,208,170
4,9,0,230,173
2,10,0,230,199
3,10,1,235,220
1,12,1,237,246
4,9,0,262,246
3,13,1,264,273
2,10,0,287,276
0,12,0,313,278
0,10,1,2,24
4,10,1,5,47
2,10,1,9,69
2,9,0,28,75
4,10,1,32,97
0,10,1,58,97
4,10,0,82,99
3,13,1,111,99
2,10,1,112,124
0,14,1,113,153
2,10,1,119,173
4,9,0,140,177
2,13,1,169,177
0,10,0,189,183
0,9,0,208,189
4,10,0,234,189
0,10,0,256,193
1,9,0,278,196
1,10,1,283,217
3,9,0,306,219
2,13,1,29,0
1,10,1,32,23
2,10,0,32,49
4,10,0,57,50
2,9,0,82,50
1,13,1,84,77
3,13,1,113,77
