Us,Them
121, 41 
61, 101 
112, 50 
101, 61 
123, 39 
52, 110 
51, 111 
93, 69 
156, 6 
24, 138 
128, 34 
134, 28 
159, 3 
106, 56 
133, 29 
121, 41 
95, 67 
94, 68 
40, 122 
72, 90 
102, 60 
37, 125 
110, 52 
101, 61 
54, 108 
17, 145 
15, 147 
31, 131 
141, 21 
89, 73 
69, 93 
47, 115 
76, 86 
67, 95 
83, 79 
114, 48 
40, 122 
97, 65 
41, 121 
77, 85 
13, 149 
58, 104 
92, 70 
162, 0 
3, 159 
95, 67 
50, 112 
101, 61 
77, 85 
74, 88 
70, 92 
103, 59 
133, 29 
62, 100 
51, 111 
142, 20 
39, 123 
83, 79 
66, 96 
50, 112 
138, 24 
82, 80 
40, 122 
69, 93 
75, 87 
26, 136 
39, 123 
44, 118 
34, 128 
81, 81 
99, 63 
107, 55 
86, 76 
98, 64 
98, 64 
71, 91 
43, 119 
32, 130 
122, 40 
23, 139 
141, 21 
146, 16 
52, 110 
22, 140 
110, 52 
54, 108 
92, 70 
65, 97 
130, 32 
88, 74 
78, 84 
153, 9 
134, 28 
77, 85 
30, 132 
108, 54 
55, 107 
133, 29 
36, 126 
62, 100 
117, 45 
103, 59 
93, 69 
97, 65 
67, 95 
88, 74 
90, 72 
125, 37 
30, 132 
24, 138 
142, 20 
6, 156 
150, 12 
96, 66 
81, 81 
98, 64 
0, 162 
74, 88 
133, 29 
78, 84 
132, 30 
148, 14 
64, 98 
28, 134 
50, 112 
73, 89 
144, 18 
43, 119 
60, 102 
88, 74 
131, 31 
56, 106 
0, 162 
48, 114 
129, 33 
35, 127 
82, 80 
16, 146 
60, 102 
135, 27 
117, 45 
119, 43 
56, 106 
33, 129 
44, 118 
88, 74 
122, 40 
72, 90 
52, 110 
74, 88 
5, 157 
151, 11 
16, 146 
112, 50 
72, 90 
129, 33 
93, 69 
54, 108 
146, 16 
63, 99 
71, 91 
27, 135 
100, 62 
107, 55 
128, 34 
135, 27 
34, 128 
105, 57 
78, 84 
63, 99 
19, 143 
65, 97 
131, 31 
49, 113 
108, 54 
135, 27 
108, 54 
33, 129 
122, 40 
30, 132 
91, 71 
125, 37 
51, 111 
87, 75 
7, 155 
162, 0 
24, 138 
102, 60 
98, 64 
118, 44 
44, 118 
39, 123 
36, 126 
55, 107 
128, 34 
49, 113 
81, 81 
21, 141 
108, 54 
102, 60 
86, 76 
112, 50 
92, 70 
113, 49 
34, 128 
40, 122 
93, 69 
145, 17 
162, 0 
90, 72 
39, 123 
36, 126 
82, 80 
17, 145 
119, 43 
31, 131 
93, 69 
64, 98 
105, 57 
46, 116 
138, 24 
123, 39 
94, 68 
52, 110 
122, 40 
54, 108 
123, 39 
49, 113 
0, 162 
123, 39 
126, 36 
125, 37 
162, 0 
136, 26 
75, 87 
121, 41 
162, 0 
82, 80 
79, 83 
119, 43 
61, 101 
20, 142 
32, 130 
66, 96 
61, 101 
