Us,Them
68, 94 
8, 154 
51, 111 
52, 110 
93, 69 
138, 24 
123, 39 
59, 103 
40, 122 
98, 64 
45, 117 
77, 85 
85, 77 
87, 75 
101, 61 
40, 122 
35, 127 
90, 72 
106, 56 
112, 50 
31, 131 
100, 62 
134, 28 
136, 26 
25, 137 
12, 150 
61, 101 
0, 162 
143, 19 
140, 22 
129, 33 
162, 0 
50, 112 
110, 52 
162, 0 
124, 38 
57, 105 
61, 101 
60, 102 
46, 116 
85, 77 
47, 115 
34, 128 
73, 89 
0, 162 
62, 100 
61, 101 
45, 117 
28, 134 
162, 0 
60, 102 
27, 135 
21, 141 
77, 85 
149, 13 
40, 122 
124, 38 
43, 119 
95, 67 
84, 78 
118, 44 
48, 114 
138, 24 
40, 122 
74, 88 
13, 149 
32, 130 
85, 77 
111, 51 
149, 13 
52, 110 
102, 60 
109, 53 
89, 73 
153, 9 
145, 17 
139, 23 
99, 63 
117, 45 
68, 94 
21, 141 
0, 162 
147, 15 
162, 0 
48, 114 
100, 62 
139, 23 
97, 65 
100, 62 
47, 115 
69, 93 
44, 118 
99, 63 
99, 63 
97, 65 
142, 20 
59, 103 
124, 38 
43, 119 
162, 0 
100, 62 
40, 122 
62, 100 
125, 37 
28, 134 
80, 82 
63, 99 
47, 115 
103, 59 
17, 145 
96, 66 
69, 93 
87, 75 
94, 68 
162, 0 
52, 110 
41, 121 
24, 138 
48, 114 
68, 94 
89, 73 
71, 91 
76, 86 
85, 77 
57, 105 
80, 82 
64, 98 
66, 96 
120, 42 
117, 45 
100, 62 
50, 112 
63, 99 
122, 40 
131, 31 
77, 85 
47, 115 
89, 73 
4, 158 
15, 147 
51, 111 
75, 87 
0, 162 
122, 40 
22, 140 
79, 83 
51, 111 
97, 65 
63, 99 
48, 114 
48, 114 
63, 99 
116, 46 
67, 95 
57, 105 
95, 67 
112, 50 
69, 93 
70, 92 
81, 81 
11, 151 
71, 91 
70, 92 
38, 124 
93, 69 
14, 148 
100, 62 
18, 144 
88, 74 
48, 114 
97, 65 
140, 22 
114, 48 
106, 56 
104, 58 
52, 110 
83, 79 
114, 48 
56, 106 
35, 127 
95, 67 
60, 102 
87, 75 
46, 116 
59, 103 
162, 0 
93, 69 
40, 122 
150, 12 
136, 26 
64, 98 
14, 148 
39, 123 
55, 107 
102, 60 
82, 80 
63, 99 
58, 104 
63, 99 
106, 56 
68, 94 
27, 135 
100, 62 
78, 84 
61, 101 
70, 92 
80, 82 
162, 0 
69, 93 
70, 92 
48, 114 
61, 101 
123, 39 
29, 133 
26, 136 
89, 73 
106, 56 
66, 96 
72, 90 
10, 152 
148, 14 
145, 17 
123, 39 
43, 119 
55, 107 
108, 54 
97, 65 
66, 96 
105, 57 
79, 83 
22, 140 
119, 43 
91, 71 
21, 141 
91, 71 
21, 141 
119, 43 
94, 68 
85, 77 
6, 156 
67, 95 
14, 148 
70, 92 
95, 67 
34, 128 
87, 75 
98, 64 
68, 94 
89, 73 
87, 75 
35, 127 
45, 117 
73, 89 
53, 109 
24, 138 
110, 52 
73, 89 
121, 41 
65, 97 
17, 145 
84, 78 
52, 110 
80, 82 
74, 88 
48, 114 
108, 54 
70, 92 
0, 162 
74, 88 
26, 136 
9, 153 
50, 112 
142, 20 
106, 56 
33, 129 
82, 80 
60, 102 
87, 75 
77, 85 
44, 118 
116, 46 
52, 110 
6, 156 
57, 105 
141, 21 
35, 127 
45, 117 
39, 123 
125, 37 
110, 52 
44, 118 
81, 81 
127, 35 
111, 51 
9, 153 
162, 0 
36, 126 
120, 42 
144, 18 
162, 0 
30, 132 
83, 79 
142, 20 
112, 50 
120, 42 
162, 0 
134, 28 
58, 104 
129, 33 
99, 63 
102, 60 
75, 87 
32, 130 
45, 117 
35, 127 
37, 125 
76, 86 
72, 90 
162, 0 
153, 9 
57, 105 
56, 106 
162, 0 
77, 85 
162, 0 
80, 82 
17, 145 
43, 119 
21, 141 
14, 148 
83, 79 
105, 57 
103, 59 
60, 102 
80, 82 
106, 56 
104, 58 
43, 119 
153, 9 
95, 67 
52, 110 
88, 74 
84, 78 
83, 79 
42, 120 
93, 69 
80, 82 
131, 31 
49, 113 
83, 79 
32, 130 
162, 0 
34, 128 
48, 114 
89, 73 
74, 88 
17, 145 
162, 0 
131, 31 
127, 35 
92, 70 
162, 0 
72, 90 
67, 95 
78, 84 
44, 118 
25, 137 
80, 82 
48, 114 
58, 104 
46, 116 
86, 76 
108, 54 
50, 112 
105, 57 
69, 93 
39, 123 
62, 100 
68, 94 
121, 41 
85, 77 
105, 57 
120, 42 
37, 125 
74, 88 
44, 118 
107, 55 
78, 84 
3, 159 
138, 24 
65, 97 
22, 140 
69, 93 
26, 136 
73, 89 
59, 103 
25, 137 
27, 135 
93, 69 
24, 138 
36, 126 
38, 124 
62, 100 
66, 96 
66, 96 
68, 94 
103, 59 
35, 127 
70, 92 
95, 67 
145, 17 
67, 95 
148, 14 
74, 88 
138, 24 
162, 0 
29, 133 
162, 0 
0, 162 
162, 0 
47, 115 
71, 91 
75, 87 
85, 77 
100, 62 
98, 64 
63, 99 
133, 29 
84, 78 
99, 63 
26, 136 
55, 107 
125, 37 
0, 162 
21, 141 
44, 118 
105, 57 
59, 103 
41, 121 
104, 58 
115, 47 
25, 137 
70, 92 
11, 151 
52, 110 
72, 90 
162, 0 
53, 109 
115, 47 
64, 98 
91, 71 
108, 54 
53, 109 
112, 50 
162, 0 
162, 0 
141, 21 
70, 92 
62, 100 
128, 34 
62, 100 
141, 21 
55, 107 
87, 75 
111, 51 
94, 68 
162, 0 
37, 125 
47, 115 
29, 133 
64, 98 
47, 115 
34, 128 
45, 117 
118, 44 
61, 101 
45, 117 
61, 101 
124, 38 
36, 126 
12, 150 
68, 94 
112, 50 
27, 135 
121, 41 
73, 89 
27, 135 
104, 58 
47, 115 
63, 99 
33, 129 
67, 95 
135, 27 
0, 162 
116, 46 
43, 119 
100, 62 
66, 96 
69, 93 
75, 87 
